Vocabulary Word,Example Sentence (Swedish),Example Sentence (English)
att vilja,Jag vill ha en kopp kaffe.,I want a cup of coffee.
all,Allt är möjligt om du tror på dig själv.,Everything is possible if you believe in yourself.
att göra,Jag vill göra en god middag.,I want to make a good dinner.
om,"Om det regnar, stannar vi hemma.","If it rains, we stay home."
annan,Jag vill ha en annan bok.,I want another book.
du,Du är min bästa vän.,You are my best friend.
någon,Kan någon hjälpa mig med läxan?,Can someone help me with the homework?
att finna,Jag finner det svårt att förstå.,I find it hard to understand.
att ta,Jag vill ta en kopp kaffe.,I want to take a cup of coffee.
när,När solen går ner blir himlen vacker.,"When the sun sets, the sky becomes beautiful."
att se,Jag gillar att se på stjärnorna på natten.,I like to look at the stars at night.
måste,Jag måste gå nu.,I have to go now.
detta,Detta är min favoritbok.,This is my favorite book.
stor,Huset är stort och rymligt.,The house is big and spacious.
nu,Nu är det dags att äta.,Now it is time to eat.
att gå,Jag gillar att gå i parken.,I like to walk in the park.
att säga,Jag vill att säga något viktigt.,I want to say something important.
den,Jag ser den bilen.,I see that car.
vad,Vad heter du?,What is your name?
ett år,Jag har bott här i ett år.,I have lived here for a year.
att äga,Jag äger en liten katt.,I own a small cat.
under,Jag gillar att läsa under dagen.,I like to read during the day.
att betyda,Vad betyder det här ordet?,What does this word mean?
också,"Jag gillar kaffe, och jag gillar också te.","I like coffee, and I also like tea."
där,Där finns många vackra blommor.,There are many beautiful flowers there.
då,Då går vi till parken!,Then let's go to the park!
min,Min bil är röd.,My car is red.
att böra,Du bör gå till läkaren om du mår dåligt.,You should go to the doctor if you feel unwell.
hur,Hur mår du idag?,How are you today?
mig,Jag ser mig i spegeln.,I see myself in the mirror.
mot,Vi går mot parken.,We are walking towards the park.
bara,Jag har bara en hund.,I only have one dog.
vilken,Vilken fin dag det är idag!,What a nice day it is today!
ut,Han gick ut i trädgården.,He went out into the garden.
ny,Det är en ny dag med nya möjligheter.,It is a new day with new possibilities.
vid,Vi träffas vid parken varje söndag.,We meet at the park every Sunday.
än,Mina vänner är längre än jag.,My friends are taller than me.
bra,Det är en bra dag idag.,It is a good day today.
ingen,Ingen hemma idag.,Nobody is home today.
dem,Jag såg dem i parken.,I saw them in the park.
efter,Vi kan gå till parken efter lunchen.,We can go to the park after lunch.
upp,Vi går upp för berget.,We are going up the mountain.
hon,Hon gillar att läsa böcker.,She likes to read books.
lite,"Jag vill ha lite kaffe, tack.","I would like a little coffee, please."
denna,Denna bok är mycket intressant.,This book is very interesting.
in,Jag gick in i rummet.,I went into the room.
mycket,Det finns mycket folk på stranden idag.,There are a lot of people at the beach today.
över,Vi går över bron till parken.,We walk over the bridge to the park.
att ge,Jag vill ge dig en present.,I want to give you a gift.
vår,Vår hund heter Max.,Our dog is named Max.
en del,En del av kakan är min favorit.,A part of the cake is my favorite.
här,Här är min bok.,Here is my book.
även,"Jag gillar pizza, och jag gillar även pasta.","I like pizza, and I also like pasta."
att skriva,Jag gillar att skriva dagbok varje kväll.,I like to write in my diary every evening.
en tid,Jag har en tid hos doktorn klockan tre.,I have an appointment with the doctor at three.
ju,Det är ju viktigt att äta frukost varje dag.,It is of course important to eat breakfast every day.
sedan,"Jag gick till affären, och sedan gick jag hem.","I went to the store, and then I went home."
att te sig,Hon te sig glad när hon fick nyheten.,She seemed happy when she received the news.
att riva,Han riva sönder sitt gamla papper.,He tears up his old paper.
att börja,Jag vill börja läsa en ny bok.,I want to begin reading a new book.
hel,Han har en hel del böcker hemma.,He has a whole lot of books at home.
en dag,En dag ska jag resa till Sverige.,One day I will travel to Sweden.
själv,Jag kan göra det själv.,I can do it myself.
en människa,En människa kan göra stor skillnad.,A person can make a big difference.
ett land,Sverige är ett land med vacker natur.,Sweden is a country with beautiful nature.
svensk,Jag är svensk och stolt över det.,I am Swedish and proud of it.
en fråga,Jag har en fråga om läxan.,I have a question about the homework.
oss,Kom hem till oss på fredag.,Come home to us on Friday.
att tro,Jag tror på dig.,I believe in you.
en el,En el är viktigt för att få ljus.,Electricity is important for getting light.
att tycka,Vad tycker du om filmen?,What do you think of the movie?
en kommentar,Jag har en kommentar om filmen.,I have a comment about the movie.
att veta,Jag vill veta mer om Sverige.,I want to know more about Sweden.
idag,Jag ska träffa mina vänner idag.,I will meet my friends today.
att försöka,Jag ska försöka läsa en bok varje vecka.,I will try to read a book every week.
att behöva,Jag behöver hjälp med läxorna.,I need help with my homework.
samma,Vi har samma intressen.,We have the same interests.
mellan,Jag sitter mellan mina vänner.,I am sitting between my friends.
att känna,Jag känner mig trött efter jobbet.,I feel tired after work.
att läsa,Jag älskar att läsa böcker på kvällen.,I love to read books in the evening.
att ro,Vi ska ro i sjön i helgen.,We will row in the lake this weekend.
kanske,Kanske ska vi gå till parken idag?,Maybe we should go to the park today?
lik,Hon ser lik ut som sin mamma.,She looks just like her mother.
att låta,Jag låter alltid dörren stå öppen.,I always let the door stay open.
olik,"Vi är olika, men vi kan vara vänner.","We are different, but we can be friends."
sådan,Sådan är livet ibland.,Such is life sometimes.
ett sätt,Det finns alltid ett sätt att lösa problemet.,There is always a way to solve the problem.
hans,Hans bok är intressant.,His book is interesting.
din,Din hund är väldigt söt.,Your dog is very cute.
en gång,Jag går en gång till affären varje dag.,I go to the store once every day.
att stå,Jag gillar att stå på stranden.,I like to stand on the beach.
inom,Jag bor inom staden.,I live within the city.
att visa,Jag vill visa dig min nya bok.,I want to show you my new book.
att använda,Jag gillar att använda min dator för att skriva.,I like to use my computer to write.
att vända,Jag behöver vända boken för att se framsidan.,I need to turn the book to see the front cover.
att hålla,Jag vill hålla din hand.,I want to hold your hand.
genom,Vi gick genom parken.,We walked through the park.
helt,Det är helt okej att vara sig själv.,It is completely okay to be yourself.
fler,Det finns fler stolar i rummet.,There are more chairs in the room.
utan,Jag kan inte gå utan mina glasögon.,I can't go without my glasses.
väl,Barnen är väl uppfostrade och artiga.,The children are well brought-up and polite.
ett barn,Ett barn leker i parken.,A child is playing in the park.
enligt,Enligt mig är det viktigt att vara snäll mot andra.,"In my opinion, it is important to be kind to others."
att tänka,Jag gillar att tänka på framtiden.,I like to think about the future.
ni,Känner ni varandra sedan länge?,Do you (two) know each other for a long time?
viktig,Det är viktigt att äta frukost varje dag.,It is important to eat breakfast every day.
en ring,Hon har en ring på sitt finger.,She has a ring on her finger.
eftersom,Jag stannar hemma eftersom det regnar.,I am staying home since it is raining.
ett liv,Ett liv är fullt av överraskningar.,A life is full of surprises.
deras,Deras hund är väldigt snäll.,Their dog is very friendly.
en värld,En värld full av möjligheter väntar på oss.,A world full of possibilities awaits us.
viss,Det finns viss osäkerhet i situationen.,There is some uncertainty in the situation.
dock,"Det regnar, dock ska vi gå ut ändå.","It is raining, yet we will go out anyway."
egen,Jag har en egen lägenhet.,I have my own apartment.
ett folk,Det var ett folk som dansade på gatan.,There was a people dancing in the street.
en regering,En regering fattar viktiga beslut.,A government makes important decisions.
fram,Han gick fram till dörren.,He walked up to the door.
honom,Jag såg honom igår.,I saw him yesterday.
att söka,Jag vill söka efter en ny lägenhet.,I want to search for a new apartment.
dig,Jag älskar dig.,I love you.
utan,Jag gillar inte bara kaffe utan också te.,I like not only coffee but also tea.
en sak,Jag har en sak att berätta.,I have a thing to tell.
hög,Musiken var så hög att jag inte kunde höra vad du sa.,The music was so loud that I couldn't hear what you said.
länge,Hur länge har du bott här?,How long have you lived here?
en person,En person kan göra stor skillnad.,A person can make a big difference.
att ligga,Solen ligger bakom molnen.,The sun is behind the clouds.
en son,Han har en son.,He has a son.
både,Jag har både hund och katt.,I have both a dog and a cat.
just,Det är just vad jag behövde!,That is exactly what I needed!
att lägga,Jag måste lägga mig tidigt i kväll.,I have to go to bed early tonight.
ett antal,Det finns ett antal böcker på hyllan.,There are a number of books on the shelf.
redan,Jag har redan ätit lunch.,I have already eaten lunch.
en kvinna,En kvinna går till affären.,A woman is going to the store.
ett problem,Det finns alltid ett problem att lösa.,There is always a problem to solve.
ett fall,Det var ett fall av missförstånd.,It was a case of misunderstanding.
"en man, två män",En man och två män sitter på bänken.,A man and two men are sitting on the bench.
aldrig,Jag kommer aldrig att ge upp.,I will never give up.
ofta,Jag går ofta till parken.,I often go to the park.
varje,Varje morgon joggar jag i parken.,Every morning I jog in the park.
en artikel,Jag läste en artikel om miljön.,I read an article about the environment.
att anse,Jag anser att vi bör börja tidigt.,I believe that we should start early.
att öva,Jag måste öva min gitarr varje dag.,I need to practice my guitar every day.
ett lag,Jag spelar i ett lag.,I play in a team.
ett slag,Det finns ett slag av musik som alltid gör mig glad.,There is a kind of music that always makes me happy.
ett tal,Jag lyssnar på ett tal om miljön.,I am listening to a speech about the environment.
åt,Han gick åt vänster vid hörnet.,He went to the left at the corner.
nog,Det kommer nog att regna imorgon.,It will probably rain tomorrow.
"en bok, två böcker",Jag har en bok och två böcker i min väska.,I have one book and two books in my bag.
varför,Varför är du så glad?,Why are you so happy?
att handla,Jag behöver handla mat idag.,I need to go shopping for food today.
gammal,Min mormor är gammal och vis.,My grandmother is old and wise.
en bild,Jag har tagit en bild av blommorna.,I took a picture of the flowers.
en sida,Jag läser en sida i boken.,I am reading a page in the book.
så,Det är så fint väder idag.,It is so nice weather today.
att öka,Jag vill öka min kunskap i svenska.,I want to increase my knowledge of Swedish.
därför,"Jag har mycket att göra, därför kan jag inte komma.","I have a lot to do, therefore I can't come."
sen,Våren kommer sen i år.,Spring is coming late this year.
god,Det är alltid goda vänner som gör livet bättre.,It is always good friends who make life better.
hos,Vi träffas hos mig på lördag.,We are meeting at my place on Saturday.
alltid,Jag är alltid glad när jag träffar mina vänner.,I am always happy when I meet my friends.
att skapa,Jag vill skapa en ny tavla.,I want to create a new painting.
ett arbete,Ett arbete kan vara både roligt och utmanande.,A job can be both fun and challenging.
att kapa,Jag såg honom kapa en gren från trädet.,I saw him cut off a branch from the tree.
samt,Jag gillar att läsa böcker samt titta på filmer.,I like to read books and also watch movies.
en blogg,Jag läser en blogg varje dag.,I read a blog every day.
innan,Jag måste äta frukost innan jag går till skolan.,I need to eat breakfast before I go to school.
som,Jag älskar att läsa böcker som är spännande.,I love to read books that are exciting.
ur,Ta ut boken ur väskan.,Take the book out of the bag.
att gälla,Det gäller att vara snäll mot andra.,It’s important to be kind to others.
att verka,Det verkar som om det kommer att regna idag.,It seems like it’s going to rain today.
att tala,Jag vill tala med dig om allt.,I want to talk to you about everything.
att bära,Jag älskar att bära min nya jacka.,I love to wear my new jacket.
för,Det är för kallt att gå ut idag.,It is too cold to go outside today.
en väg,Det finns en väg till skolan.,There is a road to the school.
ett samhälle,Ett samhälle växer när människor samarbetar.,A community grows when people work together.
alltså,"Det regnar ute, alltså stannar vi hemma.","It's raining outside, therefore we stay at home."
en stat,Jag bor i en stat som heter New York.,I live in a state called New York.
en stad,Stockholm är en stad med många sevärdheter.,Stockholm is a city with many attractions.
att höra,Jag älskar att höra på musik när jag lagar mat.,I love to listen to music while I cook.
att innebära,Att vara sjuk innebär att man behöver vila.,Being sick means that you need to rest.
genom att,Du kan lära dig svenska genom att öva varje dag.,You can learn Swedish by practicing every day.
ett företag,Ett företag kan skapa många jobb.,A company can create many jobs.
en möjlighet,Det är en möjlighet att lära sig något nytt varje dag.,It is an opportunity to learn something new every day.
ett ord,Ett ord kan förändra allt.,A word can change everything.
politisk,Politisk debatt är viktig för demokratin.,Political debate is important for democracy.
att välja,Jag måste välja en bok att läsa.,I have to choose a book to read.
er,Jag ser er i parken.,I see you guys in the park.
att förstå,Jag försöker alltid att förstå nya saker.,I always try to understand new things.
ett inlägg,Jag skrev ett inlägg på bloggen igår.,I wrote a post on the blog yesterday.
ett ägg,Jag kokar ett ägg till frukost.,I am boiling an egg for breakfast.
ett te,Jag dricker ett te varje morgon.,I drink a tea every morning.
att spela,Jag älskar att spela fotboll med mina vänner.,I love to play soccer with my friends.
så att,Jag studerar hårt så att jag kan få bra betyg.,I study hard so that I can get good grades.
lika,Hon sjunger lika bra som sin bror.,She sings just as well as her brother.
att hitta,Jag hoppas att hitta den bästa restaurangen i staden.,I hope to find the best restaurant in the city.
ett tag,Jag har inte sett dig på ett tag.,I haven't seen you for a while.
att dra,Jag måste dra i snöret för att få upp rullgardinen.,I have to pull the cord to raise the roller blind.
att leda,Jag vill leda gruppen till framgång.,I want to lead the group to success.
gärna,Jag gillar att bada gärna på sommaren.,I like to swim gladly in the summer.
ändå,"Jag ville gå ut, men det regnade ändå.","I wanted to go out, but it rained anyway."
ett förslag,Jag har ett förslag till vår nästa träff.,I have a proposal for our next meeting.
att lyckas,Det är viktigt att lyckas i skolan.,It is important to succeed in school.
dessutom,"Jag gillar pizza, och dessutom älskar jag pasta.","I like pizza, and furthermore, I love pasta."
ett område,Det finns ett område där vi kan spela fotboll.,There is an area where we can play football.
en lag,En lag skyddar våra rättigheter.,A law protects our rights.
svår,Det är svåra frågor på provet.,There are difficult questions on the test.
att lära,Jag älskar att lära mig nya språk.,I love to learn new languages.
att sätta,Jag ska sätta mig ner och läsa en bok.,I will sit down and read a book.
en plats,Vi kan träffas på en plats nära sjön.,We can meet at a spot near the lake.
lång,Han är lång och spelar basket.,He is tall and plays basketball.
att lämna,Jag måste lämna rummet nu.,I have to leave the room now.
att bygga,Jag vill bygga ett hus.,I want to build a house.
en politik,En politik kan förändra ett land.,A politics can change a country.
tidigare,Jag såg henne tidigare idag.,I saw her earlier today.
att kalla,Jag vill kalla dig min vän.,I want to call you my friend.
en peng,Jag har en peng i min ficka.,I have a coin in my pocket.
väldigt,Det är väldigt kallt ute idag.,It is very cold outside today.
att leva,Att leva är att njuta av varje ögonblick.,To live is to enjoy every moment.
att ställa,Jag måste ställa min stol på rätt plats.,I need to place my chair in the right spot.
att följa,Jag vill följa med dig till affären.,I want to follow you to the store.
en vecka,Jag tränar en vecka varje månad.,I train once a week every month.
ja,"Ja, jag vill ha en glass.","Yes, I want an ice cream."
att ske,Det är viktigt att förstå vad som kan ske i framtiden.,It is important to understand what can happen in the future.
ett parti,Vi spelar ett parti schack varje söndag.,We play a game of chess every Sunday.
att kräva,Vi måste kräva rättvisa för alla.,We must demand justice for everyone.
en utveckling,En utveckling i teknologin förändrar våra liv.,A development in technology is changing our lives.
faktiskt,Det är faktiskt en fin dag idag.,It is actually a nice day today.
att ena,Vi måste ena oss för att lösa problemet tillsammans.,We must unite to solve the problem together.
att svara,Kan du svara på frågan?,Can you answer the question?
ner,Jag går ner för trappen.,I am going down the stairs.
att fortsätta,Vi måste fortsätta jobba hårt.,We must continue to work hard.
en skola,En skola ligger i centrum av staden.,A school is located in the center of the city.
att bruka,Jag brukar gå till parken varje dag.,I am used to going to the park every day.
ett mål,Jag satte ett mål att springa en mil varje vecka.,I set a goal to run a mile every week.
ett par,Jag har ett par skor i min garderob.,I have a pair of shoes in my wardrobe.
sent,Jag går alltid sent till sängs.,I always go to bed late.
ekonomisk,Ekonomisk stabilitet är viktig för alla länder.,Economic stability is important for all countries.
kl.,Mötet börjar kl. 10.,The meeting starts at 10 o'clock.
dålig,Det är dålig väder idag.,The weather is bad today.
ett namn,Jag har ett namn som är lätt att komma ihåg.,I have a name that is easy to remember.
igen,Jag känner igen dig från festen.,I recognize you from the party.
verkligen,Jag verkligen gillar att läsa böcker.,I really like to read books.
att mena,Vad menar du med det?,What do you mean by that?
fortfarande,Jag är fortfarande hungrig.,I am still hungry.
en grupp,Vi ska träffa en grupp vänner i parken.,We are going to meet a group of friends in the park.
ett beslut,Jag måste fatta ett beslut idag.,I need to make a decision today.
även om,Jag går ut även om det regnar.,I go out even if it rains.
enda,Hon är mitt enda barn.,She is my only child.
bort,Han gick bort igår.,He went away yesterday.
att slå,Han slog bollen långt över nätet.,He hit the ball far over the net.
möjlig,Det är möjligt att lära sig svenska.,It is possible to learn Swedish.
många,Det finns många stjärnor på natten.,There are many stars in the night.
att hända,Vad är det som händer här?,What's happening here?
att ämna,Jag ämnar att börja träna nästa vecka.,I intend to start exercising next week.
endast,Endast medlemmar får delta i mötet.,Only members are allowed to participate in the meeting.
en miljon,Jag har sparat en miljon kronor.,I have saved a million kronor.
vidare,Vi kan gå vidare med planeringen.,We can move forward with the planning.
ganska,Det är ganska kallt ute idag.,It is pretty cold outside today.
ett svar,Jag väntar på ett svar från min vän.,I am waiting for an answer from my friend.
varenda,Varenda person här är vänlig.,Every single person here is friendly.
istället,Jag vill äta pizza istället.,I want to eat pizza instead.
först,Först ska vi äta frukost.,"First, we will eat breakfast."
att arbeta,Jag gillar att arbeta med mina kollegor.,I enjoy working with my colleagues.
heller,"Jag vill inte gå på bio, och du vill inte heller.","I don't want to go to the movies, and you don't want to either."
riktigt,Det var riktigt roligt att vara på festen.,It was really fun to be at the party.
"en hand, två händer","En hand kan räcka till, men två händer gör arbetet lättare.","One hand can suffice, but two hands make the work easier."
en uppgift,Jag har fått en uppgift att skriva en rapport.,I have received a task to write a report.
att fungera,Det är viktigt att allt fungerar bra.,It is important that everything functions well.
att beta,Kor betar på ängen.,Cows graze in the meadow.
att köpa,Jag vill köpa en ny bok.,I want to buy a new book.
nästan,Jag är nästan klar med mitt arbete.,I am almost done with my work.
bra,"Bra jobbat, du klarade det!","Well done, you did it!"
bland,Bland vänner är livet roligt.,"Among friends, life is fun."
december,December är en kall månad.,December is a cold month.
att sitta,Jag gillar att sitta i parken och läsa en bok.,I like to sit in the park and read a book.
precis,Jag kom precis hem.,I just got home.
hennes,Hennes bok ligger på bordet.,Her book is on the table.
att åta sig,Jag vill åta mig att hjälpa dig med ditt projekt.,I want to commit to helping you with your project.
bland annat,"Jag gillar många sporter, bland annat fotboll och tennis.","I like many sports, among other things football and tennis."
ett krig,Det finns ett krig i historien som vi aldrig får glömma.,There is a war in history that we must never forget.
till exempel,"Jag gillar många frukter, till exempel äpplen och bananer.","I like many fruits, for example apples and bananas."
tillsammans,Vi ska jobba tillsammans för att lösa problemet.,We will work together to solve the problem.
henne,Jag träffade henne i parken.,I met her in the park.
intressant,Det är intressant att lära sig nya språk.,It is interesting to learn new languages.
ett val,Jag måste göra ett val snart.,I have to make a choice soon.
en kyrka,En kyrka ligger på torget.,A church is located in the square.
egentligen,Det är egentligen bara en vanlig dag.,It is actually just a normal day.
inför,Inför mötet kände jag mig nervös.,"Before the meeting, I felt nervous."
en historia,Jag gillar att höra en historia innan jag somnar.,I like to hear a story before I fall asleep.
ett jobb,Jag har ett jobb som jag älskar.,I have a job that I love.
att berätta,Jag vill berätta en historia för dig.,I want to tell a story to you.
vanlig,Det är vanligt att dricka kaffe på morgonen.,It is common to drink coffee in the morning.
att rätta,Jag behöver rätta mina misstag.,I need to correct my mistakes.
januari,Januari är den kallaste månaden.,January is the coldest month.
en information,En information kan vara mycket värdefull.,Information can be very valuable.
flest,Barnen har flest leksaker i klassen.,The children have the most toys in the class.
ung,Jag är ung och glad.,I am young and happy.
en,Det är viktigt att en alltid är snäll mot andra.,It is important that one is always kind to others.
tillbaka,Jag går tillbaka till skolan.,I am going back to school.
en film,Jag såg en film igår kväll.,I watched a movie last night.
ibland,Ibland går jag till parken.,Sometimes I go to the park.
medan,Jag läser en bok medan du lagar mat.,I am reading a book while you are cooking.
ett slut,Det är viktigt att ha ett slut på varje projekt.,It is important to have an end to every project.
en massa,Det finns en massa människor på konserten.,There are loads of people at the concert.
en tanke,En tanke slog mig när jag såg solen gå ner.,A thought struck me when I saw the sun set.
en akt,Hon läste en akt från teatern.,She read an act from the theater.
en procent,Det är en procent av befolkningen som gillar kaffe.,It is one percent of the population that likes coffee.
en månad,Jag har en månad kvar tills min födelsedag.,I have a month left until my birthday.
sista,Vi måste köpa biljetter till den sista konserten.,We need to buy tickets for the last concert.
en ätt,Ätten har styrt landet i flera generationer.,The dynasty has ruled the country for several generations.
att sluta,Jag vill sluta äta godis.,I want to stop eating candy.
en verksamhet,Vi startar en verksamhet tillsammans nästa år.,We are starting a business together next year.
en rätt,Vi beställde en rätt till förrätt och en till efterrätt.,We ordered a dish for the starter and one for dessert.
samtidigt,Jag läser en bok och lyssnar på musik samtidigt.,I am reading a book and listening to music at the same time.
emot,Jag står emot vinden när jag cyklar.,I stand against the wind when I cycle.
ett stöd,Jag behöver ett stöd för att klara av detta projekt.,I need a support to manage this project.
en familj,En familj är viktig för oss.,A family is important to us.
vem,Vem är din bästa vän?,Who is your best friend?
att åka,Jag gillar att åka buss till jobbet.,I like to go by bus to work.
att betala,Jag måste betala räkningen idag.,I have to pay the bill today.
en kommun,Jag bor i en kommun med många parker.,I live in a municipality with many parks.
ett resultat,Ett resultat av träningen är bättre hälsa.,A result of the training is better health.
att utveckla,Jag vill utveckla mina färdigheter.,I want to develop my skills.
att föra,Jag ska föra boken till biblioteket.,I will bring the book to the library.
att hjälpa,Jag vill hjälpa dig.,I want to help you.
nästa,Nästa vecka ska vi åka till stranden.,Next week we are going to the beach.
nära,Vi bor nära parken.,We live near the park.
nej,"Nej, jag vill inte gå ut idag.","No, I don’t want to go out today."
en text,Jag läser en text varje dag.,I read a text every day.
ett exempel,Det här är ett exempel på en bra bok.,This is an example of a good book.
särskilt,Jag gillar särskilt att läsa böcker.,I especially like to read books.
en debatt,Vi hade en debatt om klimatförändringar i skolan.,We had a debate about climate change at school.
när det gäller,"När det gäller mat, älskar jag pasta.","When it comes to food, I love pasta."
på grund av,Jag stannade hemma på grund av regnet.,I stayed home because of the rain.
en situation,En situation kan förändras snabbt.,A situation can change quickly.
europeisk,Det europeiska laget vann turneringen.,The European team won the tournament.
en form,En form kan vara rund eller fyrkantig.,A shape can be round or square.
en orm,Jag såg en orm i trädgården.,I saw a snake in the garden.
ett råd,Jag behöver ett råd om hur jag ska lösa problemet.,I need advice on how to solve the problem.
november,November är en kall månad.,November is a cold month.
en makt,En makt kan förändra världen.,A power can change the world.
social,Sociala medier är viktiga för att hålla kontakten.,Social media is important for keeping in touch.
att vinna,Jag vill vinna tävlingen.,I want to win the competition.
kvar,Det finns bara en bit pizza kvar.,There is only one piece of pizza left.
ett system,Ett system kan vara enkelt att förstå.,A system can be easy to understand.
att vänta,Jag måste vänta på bussen.,I have to wait for the bus.
tidig,Jag går alltid upp tidig på morgonen.,I always get up early in the morning.
en åtgärd,Vi behöver en åtgärd för att lösa problemet.,We need a measure to solve the problem.
ett krav,Det är ett krav att lämna in uppgiften i tid.,It is a requirement to submit the assignment on time.
en skillnad,Det är en skillnad mellan dem.,There is a difference between them.
en riksdag,En riksdag beslutar om viktiga lagar.,A parliament decides on important laws.
internationell,Internationell handel är viktig för ekonomin.,International trade is important for the economy.
nationell,Sverige har en stark nationell identitet.,Sweden has a strong national identity.
att jobba,Jag gillar att jobba med mina vänner.,I like to work with my friends.
att klara,Jag tror att du kan klara det här provet.,I believe you can manage this exam.
en typ,Det finns en typ av hundar som är väldigt vänliga.,There is a kind of dog that is very friendly.
kring,Vi pratar kring bordet om våra planer.,We talk around the table about our plans.
båda,Båda barnen leker i parken.,Both children are playing in the park.
cirka,Vi kommer att vara där cirka klockan tre.,We will be there at about three o'clock.
en tur,Vi hade en tur till fjällen i helgen.,We had a trip to the mountains last weekend.
en polis,En polis hjälper människor varje dag.,A police officer helps people every day.
ett medium,Ett medium kan vara en bra källa till information.,A medium can be a good source of information.
låg,Min lärare sa att lågstadiet är viktigt för barn.,My teacher said that elementary school is important for children.
varandra,Känner ni varandra?,Do you guys know each other?
en mun,Hon dricker en kopp kaffe och ler med en mun.,She drinks a cup of coffee and smiles slightly.
ett ansvar,Jag har ett ansvar för mina studier.,I have a responsibility for my studies.
en roll,Hon spelar en roll i teatern.,She plays a role in the theater.
en regel,En regel är viktig att följa i skolan.,A rule is important to follow in school.
oktober,Oktober är min favoritmånad.,October is my favorite month.
att prata,Jag gillar att prata med mina vänner.,I like to talk with my friends.
en organisation,En organisation hjälper människor att samarbeta.,An organisation helps people to collaborate.
en medlem,Jag är en medlem i föreningen.,I am a member of the association.
att fråga,Kan jag fråga dig något?,May I ask you something?
att anmäla,Jag måste anmäla mig till kursen nästa vecka.,I need to sign up for the course next week.
att nå,Jag försöker nå mitt mål varje dag.,I try to reach my goal every day.
att bo,Jag bor i Stockholm.,I live in Stockholm.
en krona,Jag har en krona i fickan.,I have a crown in my pocket.
att stämma,Musiken stämmer perfekt med texten.,The music corresponds perfectly with the lyrics.
en rättighet,En rättighet är något som alla människor har.,A right is something that all people have.
sedan,Han har varit här sedan i måndags.,He has been here since Monday.
bakom,Hon sitter bakom ratten och kör.,She is sitting behind the wheel and driving.
efter att,"Efter att jag hade ätit, gick jag en promenad.","After having eaten, I went for a walk."
därmed,Hon stängde dörren och därmed var festen över.,"She closed the door, and with that, the party was over."
med,Jag vill ha glass med.,I want ice cream too.
ett hus,Jag bor i ett hus med min familj.,I live in a house with my family.
en vän,Jag har en vän som heter Anna.,I have a friend named Anna.
att dela,Vi kan dela kakan med våra vänner.,We can share the cake with our friends.
februari,Februari är en kall månad.,February is a cold month.
kort,"Kort sagt, vi ses imorgon.","In short, we'll see each other tomorrow."
en grund,En grund av förtroende är viktig i varje relation.,A foundation of trust is important in every relationship.
runt,Jag gick runt parken varje dag.,I walked around the park every day.
en framtid,Vi drömmer om en framtid full av möjligheter.,We dream of a future full of possibilities.
att köra,Vi ska köra till stranden i helgen.,We will drive to the beach this weekend.
en etikett,Jag satte en etikett på lådan.,I put a label on the box.
